1000002,Kabul,,Afghanistan,AF
1000003,Luanda,Luanda Province,Angola,AO
1000004,The Valley,,Anguilla,AI
1000010,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE
1000011,Ajman,Ajman,United Arab Emirates,AE
1000012,Al Ain,Abu Dhabi,United Arab Emirates,AE
1000013,Dubai,Dubai,United Arab Emirates,AE
1000014,Ras Al-Khaimah,North Ras Al Khaimah,United Arab Emirates,AE
1000018,Salta,Salta Province,Argentina,AR
1000021,Avellaneda,Buenos Aires Province,Argentina,AR
1000024,Bahia Blanca,Buenos Aires Province,Argentina,AR
1000025,Balcarce,Buenos Aires Province,Argentina,AR
1000027,Brandsen,Buenos Aires Province,Argentina,AR
1000028,Campana,Buenos Aires Province,Argentina,AR
1000029,Chacabuco,Buenos Aires Province,Argentina,AR
1000030,Colon,Buenos Aires Province,Argentina,AR
1000031,Del Viso,Buenos Aires Province,Argentina,AR
1000035,Isidro Casanova,Buenos Aires Province,Argentina,AR
1000036,Junin,Buenos Aires Province,Argentina,AR
1000037,La Plata,Buenos Aires Province,Argentina,AR
1000039,Lomas de Zamora,Buenos Aires Province,Argentina,AR
1000040,Luis Guillon,Buenos Aires Province,Argentina,AR
1000041,Lujan,Buenos Aires Province,Argentina,AR
1000042,Mar del Plata,Buenos Aires Province,Argentina,AR
1000044,Moron,Buenos Aires Province,Argentina,AR
1000045,Olavarria,Buenos Aires Province,Argentina,AR
1000047,Pergamino,Buenos Aires Province,Argentina,AR
1000050,Pinamar,Buenos Aires Province,Argentina,AR
1000053,Quilmes,Buenos Aires Province,Argentina,AR
1000058,San Antonio de Padua,Buenos Aires Province,Argentina,AR
1000059,San Fernando,Buenos Aires Province,Argentina,AR
1000060,San Isidro,Buenos Aires Province,Argentina,AR
1000062,San Nicolas de los Arroyos,Buenos Aires Province,Argentina,AR
1000063,San Pedro,Buenos Aires Province,Argentina,AR
1000065,Tandil,Buenos Aires Province,Argentina,AR
1000066,Tortuguitas,Buenos Aires Province,Argentina,AR
1000067,Trenque Lauquen,Buenos Aires Province,Argentina,AR
1000069,Vicente Lopez,Buenos Aires Province,Argentina,AR
1000070,Villa Gesell,Buenos Aires Province,Argentina,AR
1000072,Zarate,Buenos Aires Province,Argentina,AR
1000073,Buenos Aires,Buenos Aires,Argentina,AR
1000075,Concepcion del Uruguay,Entre Rios,Argentina,AR
1000077,Gualeguaychu,Entre Rios,Argentina,AR
1000078,Parana,Entre Rios,Argentina,AR
1000080,La Rioja,La Rioja Province,Argentina,AR
1000081,Santiago del Estero,Santiago del Estero Province,Argentina,AR
1000082,Resistencia,Chaco Province,Argentina,AR
1000083,Roque Saenz Pena,Santa Fe Province,Argentina,AR
1000085,San Juan,San Juan Province,Argentina,AR
1000086,Catamarca,Catamarca Province,Argentina,AR
1000088,General Pico,La Pampa,Argentina,AR
1000089,Santa Rosa,La Pampa,Argentina,AR
1000092,Mendoza,Mendoza Province,Argentina,AR
1000094,San Martin,Mendoza Province,Argentina,AR
1000095,San Rafael,Mendoza Province,Argentina,AR
1000096,Posadas,Misiones Province,Argentina,AR
1000097,Formosa,Formosa Province,Argentina,AR
1000099,Neuquen,Neuquen,Argentina,AR
1000100,San Martin de los Andes,Neuquen,Argentina,AR
1000104,San Carlos de Bariloche,Rio Negro,Argentina,AR
1000105,Viedma,Rio Negro,Argentina,AR
1000108,Rafaela,Santa Fe Province,Argentina,AR
1000109,Rosario,Santa Fe Province,Argentina,AR
1000112,Santa Fe,Santa Fe Province,Argentina,AR
1000114,Venado Tuerto,Santa Fe Province,Argentina,AR
1000115,Villa Constitucion,Santa Fe Province,Argentina,AR
1000116,San Miguel de Tucuman,Tucuman,Argentina,AR
1000117,Comodoro Rivadavia,Chubut Province,Argentina,AR
1000119,Puerto Madryn,Chubut Province,Argentina,AR
1000121,Rio Grande,Tierra del Fuego Province,Argentina,AR
1000122,Ushuaia,Tierra del Fuego Province,Argentina,AR
1000123,Corrientes,Corrientes,Argentina,AR
1000126,Cordoba,Cordoba,Argentina,AR
1000128,Rio Cuarto,Cordoba,Argentina,AR
1000129,San Francisco,Cordoba,Argentina,AR
1000130,Villa Maria,Cordoba,Argentina,AR
1000133,Jujuy,Jujuy,Argentina,AR
1000134,Caleta Olivia,Santa Cruz Province,Argentina,AR
1000135,Rio Gallegos,Santa Cruz Province,Argentina,AR
1000138,Saint John's,,Antigua and Barbuda,AG
1000142,Canberra,Australian Capital Territory,Australia,AU
1000144,Barwon Downs,Victoria,Australia,AU
1000148,Albury,New South Wales,Australia,AU
1000149,Armidale,New South Wales,Australia,AU
1000152,Ballina,New South Wales,Australia,AU
1000156,Batemans Bay,New South Wales,Australia,AU
1000157,Bathurst,New South Wales,Australia,AU
1000170,Broken Hill,New South Wales,Australia,AU
1000173,Cessnock,New South Wales,Australia,AU
1000184,Coffs Harbour,New South Wales,Australia,AU
1000200,Dubbo,New South Wales,Australia,AU
1000211,Goulburn,New South Wales,Australia,AU
1000212,Grafton,New South Wales,Australia,AU
1000213,Griffith,New South Wales,Australia,AU
1000225,Kiama,New South Wales,Australia,AU
1000226,Victoria Point,Queensland,Australia,AU
1000227,Katoomba,New South Wales,Australia,AU
1000233,Lismore,New South Wales,Australia,AU
1000234,Lithgow,New South Wales,Australia,AU
1000236,Maitland,New South Wales,Australia,AU
1000246,Craigieburn,Victoria,Australia,AU
1000250,Muswellbrook,New South Wales,Australia,AU
1000255,Newcastle,New South Wales,Australia,AU
1000259,Nowra,New South Wales,Australia,AU
1000262,Orange,New South Wales,Australia,AU
1000264,Parkes,New South Wales,Australia,AU
1000269,Port Macquarie,New South Wales,Australia,AU
1000274,Raymond Terrace,New South Wales,Australia,AU
1000278,Richmond,New South Wales,Australia,AU
1000281,Sawtell,New South Wales,Australia,AU
1000284,Singleton,New South Wales,Australia,AU
1000286,Sydney,New South Wales,Australia,AU
1000287,Tamworth,New South Wales,Australia,AU
1000288,Taree,New South Wales,Australia,AU
1000304,Wagga Wagga,New South Wales,Australia,AU
1000314,Wollongong,New South Wales,Australia,AU
1000320,Alice Springs,Northern Territory,Australia,AU
1000322,Darwin,Northern Territory,Australia,AU
1000336,Bongaree,Queensland,Australia,AU
1000339,Brisbane,Queensland,Australia,AU
1000341,Buderim,Queensland,Australia,AU
1000342,Bundaberg,Queensland,Australia,AU
1000346,Caboolture,Queensland,Australia,AU
1000347,Cairns,Queensland,Australia,AU
1000348,Caloundra,Queensland,Australia,AU
1000358,Dalby,Queensland,Australia,AU
1000364,Gladstone,Queensland,Australia,AU
1000366,Gympie,Queensland,Australia,AU
1000376,Kingston,Tasmania,Australia,AU
1000377,Kawana,Queensland,Australia,AU
1000380,Mackay,Queensland,Australia,AU
1000382,Maroochydore,Queensland,Australia,AU
1000383,Maryborough,Queensland,Australia,AU
1000388,Mount Isa,Queensland,Australia,AU
1000390,Nambour,Queensland,Australia,AU
1000392,Nerang,Queensland,Australia,AU
1000401,Redcliffe,Queensland,Australia,AU
1000404,Rockhampton,Queensland,Australia,AU
1000412,Toowoomba,Queensland,Australia,AU
1000414,Townsville,Queensland,Australia,AU
1000415,Warwick,Queensland,Australia,AU
1000422,Adelaide,South Australia,Australia,AU
1000438,Gawler,South Australia,Australia,AU
